DocId,SpecificationNumber,FileName,DocumentType,DocumentDescription,DocumentStatus,Document URL
180179,102000016236,102000016236-01,ZSpec_IBDV_URL,102000016236-01,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10159696.PDF
177560,102000056797,102000056797-01,ZSpec_IBDV_URL,102000056797-01,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10160627.PDF
177700,102000024934,102000024934-02,Spec_URL,102000024934-02,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10160949.PDF
177702,102000024689,102000024689-03,Spec_URL,102000024689-03,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10160951.PDF
177708,102000024250,102000024250-01,Spec_URL,102000024250-01,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10160957.PDF
177722,102000027094,102000027094-03,Spec_URL,102000027094-03,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10160971.PDF
177723,102000027093,102000027093-03,Spec_URL,102000027093-03,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10160972.PDF
177755,102000025842,102000025842-01,Spec_URL,102000025842-01,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10161004.PDF
178133,102000021897,102000021897-02,Spec_URL,102000021897-02,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10161382.PDF
178154,102000014262,102000014262-04,Spec_URL,102000014262-04,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10161403.PDF
178207,102000016236,102000016236-02,Spec_URL,102000016236-02,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10161456.PDF
178224,102000014861,102000014861-02,Spec_URL,102000014861-02,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10161473.PDF
178260,102000025842,102000025842-01,Spec_URL,102000025842-01,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/10161517.PDF
