DocId,SpecificationNumber,FileName,DocumentType,DocumentDescription,DocumentStatus,Document URL,Modified,Created
175394,102D00000585,BES-081525,ZSpec_SeL_URL,BES-081525,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7BE60229AA-28F0-4104-9C52-F8902BDEE7CD%7D&file=BES-081525.xlsx&action=default&mobileredirect=true,2025-11-05 13:09:13+00:00,2025-11-05 13:09:13+00:00
178224,1.02E+11,BES-084404,Spec_URL,BES-084404,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084404.PDF,2025-11-05 13:08:57+00:00,2025-11-05 13:08:56+00:00
178297,1.02E+11,BES-084477,Spec_URL,BES-084477,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084477.PDF,2025-11-05 13:08:53+00:00,2025-11-05 13:08:51+00:00
178298,1.02E+11,BES-084478,Spec_URL,BES-084478,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084478.PDF,2025-11-05 13:08:47+00:00,2025-11-05 13:08:46+00:00
201721,102D00000797,102D00000797-01.00,Spec_URL,102D00000797-01.00,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7BC02DCE89-AB36-48CF-8383-497420F21226%7D&file=102D00000797-01.00.docx&action=default&mobileredirect=true,2025-11-05 13:07:15+00:00,2025-11-05 13:07:15+00:00
202346,1.02E+11,102000025126-02.11,Spec_URL,102000025126-02.11,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7B11EDA851-40EB-4B46-8C0A-C63A4161895B%7D&file=102000025126-02.11.docx&action=default&mobileredirect=true,2025-11-05 13:07:15+00:00,2025-11-05 13:07:14+00:00
202345,1.02E+11,102000036076-01.02,Spec_URL,102000036076-01.02,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7BDF235223-2DD0-41DF-85E9-ADB2C1EF774A%7D&file=102000036076-01.02.docx&action=default&mobileredirect=true,2025-11-05 13:07:17+00:00,2025-11-05 13:07:14+00:00
202026,1.02E+11,102000025634-01.03,Spec_URL,102000025634-01.03,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7B230F55EB-D76B-4A7A-B43E-3164E91100F1%7D&file=102000025634-01.03.docx&action=default&mobileredirect=true,2025-11-05 13:07:17+00:00,2025-11-05 13:07:14+00:00
201845,1.02E+11,102000059087-01.03,Spec_URL,102000059087-01.03,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7B5CE0D5E1-140C-4FAB-A78F-068A4EA4610D%7D&file=102000059087-01.03.docx&action=default&mobileredirect=true,2025-11-05 13:07:15+00:00,2025-11-05 13:07:14+00:00
201660,102D00000796,102D00000796-01.00,Spec_URL,102D00000796-01.00,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7B15080C1E-5796-4B56-AE4E-F866CC0C2AFE%7D&file=102D00000796-01.00.docx&action=default&mobileredirect=true,2025-11-05 13:07:15+00:00,2025-11-05 13:07:14+00:00
201425,102D00000793,102D00000793-01.00,Spec_URL,102D00000793-01.00,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7BF3E85DD3-9EBD-46ED-8CF2-17820EFC9A51%7D&file=102D00000793-01.00.docx&action=default&mobileredirect=true,2025-11-05 13:07:15+00:00,2025-11-05 13:07:14+00:00
201309,102D00000286,102D00000286-02.01,Spec_URL,102D00000286-02.01,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7BB07034BC-306C-4CE2-82D7-3A8CCE5D1B1F%7D&file=102D00000286-02.01.docx&action=default&mobileredirect=true,2025-11-05 13:07:15+00:00,2025-11-05 13:07:14+00:00
200848,1.02E+11,102000032767-02.06,Spec_URL,102000032767-02.06,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7BF0308C23-4115-48EE-BF0F-18D317A02DE9%7D&file=102000032767-02.06.docx&action=default&mobileredirect=true,2025-11-05 13:07:15+00:00,2025-11-05 13:07:14+00:00
177722,1.02E+11,BES-083902,Spec_URL,BES-083902,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-083902.PDF,2025-11-05 13:09:08+00:00,2025-11-05 13:06:10+00:00
177723,1.02E+11,BES-083903,Spec_URL,BES-083903,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-083903.PDF,2025-11-05 13:09:03+00:00,2025-11-05 13:04:43+00:00
178628,1.02E+11,BES-084857,Spec_URL,BES-084857,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084857.PDF,2025-11-05 13:08:42+00:00,2025-11-05 13:03:06+00:00
180264,1.02E+11,BES-086466,Spec_URL,BES-086466,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-086466.PDF,2025-11-04 19:00:49+00:00,2025-11-04 19:00:47+00:00
178272,1.02E+11,BES-084452,Spec_URL,BES-084452,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084452.PDF,2025-11-04 16:08:40+00:00,2025-11-04 16:04:26+00:00
178356,1.02E+11,BES-084536,Spec_URL,BES-084536,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084536.PDF,2025-11-04 16:03:49+00:00,2025-11-04 16:03:48+00:00
178611,1.02E+11,BES-084840,Spec_URL,BES-084840,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084840.PDF,2025-11-04 13:04:36+00:00,2025-11-04 13:04:35+00:00
178933,1.02E+11,BES-085162,Spec_URL,BES-085162,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-085162.pdf,2025-11-04 13:04:25+00:00,2025-11-04 13:04:25+00:00
178207,1.02E+11,BES-084387,Spec_URL,BES-084387,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084387.PDF,2025-11-04 13:04:40+00:00,2025-11-04 13:01:58+00:00
180179,1.02E+11,102000016236-01,ZSpec_IBDV_URL,102000016236-01,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-086337.PDF,2025-11-05 13:21:58+00:00,2025-11-04 13:01:24+00:00
175337,102D00000483,BES-081468,ZSpec_SeL_URL,BES-081468,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-081468.pdf,2025-11-04 10:00:56+00:00,2025-11-04 10:00:55+00:00
178878,1.02E+11,BES-085107,Spec_URL,BES-085107,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-085107.pdf,2025-11-03 22:01:30+00:00,2025-11-03 22:01:30+00:00
175376,102D00000609,BES-081507,ZSpec_SeL_URL,BES-081507,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-081507.pdf,2025-11-03 19:10:01+00:00,2025-11-03 19:10:00+00:00
178354,1.02E+11,BES-084534,Spec_URL,BES-084534,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084534.PDF,2025-11-03 19:09:27+00:00,2025-11-03 19:09:26+00:00
178703,1.02E+11,BES-084932,Spec_URL,BES-084932,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084932.PDF,2025-11-03 19:09:06+00:00,2025-11-03 19:09:05+00:00
178817,1.02E+11,102000012401.04.05,Spec_URL,102000012401.04.05,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/102000012401.04.05.pdf,2025-11-03 19:09:03+00:00,2025-11-03 19:09:02+00:00
177702,1.02E+11,BES-083882,Spec_URL,BES-083882,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-083882.PDF,2025-11-03 19:09:50+00:00,2025-11-03 19:05:24+00:00
178154,1.02E+11,BES-084334,Spec_URL,BES-084334,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084334.PDF,2025-11-03 19:09:36+00:00,2025-11-03 19:03:14+00:00
178318,1.02E+11,BES-084498,Spec_URL,BES-084498,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084498.PDF,2025-11-03 16:10:49+00:00,2025-11-03 16:10:48+00:00
178352,1.02E+11,BES-084532,Spec_URL,BES-084532,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084532.PDF,2025-11-03 16:10:43+00:00,2025-11-03 16:10:41+00:00
178358,1.02E+11,BES-084538,Spec_URL,BES-084538,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084538.PDF,2025-11-03 16:10:37+00:00,2025-11-03 16:10:37+00:00
177700,1.02E+11,102000024934-02,Spec_URL,102000024934-02,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-083880.PDF,2025-11-05 13:26:04+00:00,2025-11-03 16:05:49+00:00
177708,1.02E+11,BES-083888,Spec_URL,BES-083888,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-083888.PDF,2025-11-03 16:11:25+00:00,2025-11-03 16:05:12+00:00
178133,1.02E+11,BES-084313,Spec_URL,BES-084313,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084313.PDF,2025-11-03 16:10:52+00:00,2025-11-03 16:04:26+00:00
178778,1.02E+11,BES-085007,Spec_URL,BES-085007,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-085007.pdf,2025-11-03 16:01:56+00:00,2025-11-03 16:01:55+00:00
177560,1.02E+11,102000056797-01,ZSpec_IBDV_URL,102000056797-01,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-083740.PDF,2025-11-05 13:24:56+00:00,2025-11-03 13:06:37+00:00
177755,1.02E+11,BES-083935,Spec_URL,BES-083935,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-083935.PDF,2025-11-03 14:01:27+00:00,2025-11-03 13:06:33+00:00
178260,1.02E+11,BES-084440,Spec_URL,BES-084440,Obsolete,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084440.PDF,2025-11-03 14:13:42+00:00,2025-11-03 13:06:24+00:00
178746,1.02E+11,BES-084975,Spec_URL,BES-084975,,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/Documents/BES-084975.PDF,2025-11-03 14:53:28+00:00,2025-11-03 13:06:14+00:00
199834,102D00000520,102D00000520-01.00,Spec_URL,102D00000520-01.00,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7BE7CE3A18-9849-4D50-90A6-01D97D448A65%7D&file=formulationSpecificationLiquid_(7).docx&action=default&mobileredirect=true,2025-10-17 10:26:21+00:00,2025-10-17 10:26:19+00:00
199671,102D00000494,102D00000494-01.02,Spec_URL,102D00000494-01.02,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7BD5594DBF-C3BB-4120-B88E-035EE8ED7401%7D&file=formulationSpecificationLiquid_(6).docx&action=default&mobileredirect=true,2025-10-17 10:26:14+00:00,2025-10-17 10:26:14+00:00
196806,102D00000753,102D00000753-01.00,Spec_URL,102D00000753-01.00,Approved,https://envu.sharepoint.com/sites/EnvuSpecificationsProd/_layouts/15/Doc.aspx?sourcedoc=%7B22EC09FA-188C-4D78-BD98-FEC42ABB7188%7D&file=formulationSpecificationLiquid_(5).docx&action=default&mobileredirect=true,2025-10-17 10:26:14+00:00,2025-10-17 10:26:13+00:00
